assembly_id	qseqid	taxid	staxid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	ssuperkingdom	skingdom	sphylum	ssubphylum	sclass	sorder	sfamily	sgenus	sspecies	rDNA_copynumber	superkingdom	supergroup	kingdom	phylum	class	order	family	genus	species
GCA_000648945	GCA_000648945|KZ320079.1/177224-173026;size=1	1218281	208348	gi|2414099055|gb|CP110456.1|	88.356	2525	248	38	1666	4164	1991199	1988695	0	2992	4253306	Eukaryota	Fungi	Basidiomycota	Pucciniomycotina	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia triticina	1	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Insecta	Trichoptera	Limnephilidae	Limnephilus	Limnephilus lunatus
GCA_000699065	GCA_000699065|JHUJ02006182.1/7616-2427;size=1	7375	2748878	gi|1723780767|gb|MN319573.1|	98.577	3021	39	4	2090	5108	1	3019	0	5337	3020	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	NA	Starmerella	Starmerella vitis	1	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Insecta	Diptera	Calliphoridae	Lucilia	Lucilia cuprina
GCA_000724045	GCA_000724045|HG819924.1/155759-160633;size=1	36090	660027	gi|1841337668|gb|CP052041.1|	99.2	4878	32	7	1	4875	13350	18223	0	8785	4731052	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum	1	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Rhabditida	Heteroderidae	Globodera	Globodera pallida
GCA_000751415	GCA_000751415|CCOE01002690.1/4504-1;size=1	61819	176275	gi|1905001550|gb|CP045879.1|	96.844	4500	103	23	9	4504	15176	10712	0	7487	1996242	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria bassiana	1	Eukaryota	Opisthokonta	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	Amphilophus	Amphilophus citrinellus
GCA_000798715	GCA_000798715|JNVN01005713.1/481-5555;size=1	52586	2051817	gi|1282187830|gb|KY922035.1|	87.883	2575	233	58	2531	5075	1	2526	0	2955	3190	Eukaryota	Metazoa	Arthropoda	Chelicerata	Arachnida	Trombidiformes	Tarsonemidae	NA	Tarsonemidae gen. sp. AD1063	1	Eukaryota	Opisthokonta	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	Erysiphe necator
GCA_000805855	GCA_000805855|JRBC01001057.1/4864-1;size=1	318829	3702	gi|1572541212|emb|LR215055.1|	100	4864	0	0	1	4864	26213	31076	0	8983	19019438	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis	Arabidopsis thaliana	1	Eukaryota	Opisthokonta	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Pyriculariaceae	Pyricularia	Pyricularia oryzae
GCA_000818155	GCA_000818155|KN796161.1/8393-4387;size=1	105487	3988	gi|2249528564|gb|ON685385.1|	99.812	3715	7	0	265	3979	1	3715	0	6822	3715	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Malpighiales	Euphorbiaceae	Ricinus	Ricinus communis	2	Eukaryota	Opisthokonta	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Valsa	Valsa mali
GCA_000956155	GCA_000956155|JZSA01001952.1/119141-123188;size=1	217443	93385	gi|1249666403|gb|KX709343.1|	100	1811	0	0	2238	4048	2313	4123	0	3345	5818	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica rapa	1	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Insecta	Hymenoptera	Braconidae	Cotesia	Cotesia vestalis
GCA_000988845	GCA_000988845|LBFL01008604.1/4826-1;size=1	66581	310910	gi|1358186640|gb|MH047197.1|	95.511	2718	97	20	1944	4651	1872	4574	0	4320	4574	Eukaryota	Fungi	Mucoromycota	Mortierellomycotina	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia elongata	1	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Arachnida	Sarcoptiformes	Hypochthoniidae	Hypochthonius	Hypochthonius rufulus
GCA_001187945	GCA_001187945|JRES01001042.1/3036-7212;size=1	7375	2748878	gi|1723780767|gb|MN319573.1|	98.565	2090	26	4	2090	4177	1	2088	0	3690	3020	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	NA	Starmerella	Starmerella vitis	1	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Insecta	Diptera	Calliphoridae	Lucilia	Lucilia cuprina
GCA_001276145	GCA_001276145|KQ435659.1/2461-8157;size=1	36080	197124	gi|2558070783|gb|CP131454.1|	95.712	5643	203	33	2	5619	627257	632885	0	9044	36361311	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Malvales	Malvaceae	Microcos	Microcos paniculata	1	Eukaryota	Opisthokonta	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinelloides
GCA_001542345	GCA_001542345|LRIL01008447.1/14526-8712;size=2	9606	440679	gi|1825537553|gb|MK607890.1|	98.181	5828	89	15	1	5815	86	5909	0	10159	5957	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Gentianales	Rubiaceae	Augusta	Augusta austrocaledonica	2	Eukaryota	Opisthokonta	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
GCA_001553865	GCA_001553865|LJJI01000032.1/1844-7460;size=1	1712568	1010633	gi|1832288657|emb|LR761623.1|	99.075	5619	50	2	1	5617	42783138	42788756	0	10087	60747861	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Poales	Poaceae	Digitaria	Digitaria exilis	1	Eukaryota	Opisthokonta	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia sp. BSL10
GCA_001624255	GCA_001624255|LGSF01013985.1/702-5951;size=1	113540	128017	gi|1973623084|gb|MW070202.1|	99.734	5257	7	2	1	5250	1342	6598	0	9624	7171	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Sapindales	Sapindaceae	Dimocarpus	Dimocarpus longan	1	Eukaryota	Opisthokonta	Metazoa	Chordata	Actinopteri	Osteoglossiformes	Osteoglossidae	Scleropages	Scleropages formosus
GCA_001624675	GCA_001624675|LVXS01064277.1/2400-6996;size=1	10090	176275	gi|1905001550|gb|CP045879.1|	96.875	4544	103	23	9	4548	15176	10668	0	7568	1996242	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria bassiana	1	Eukaryota	Opisthokonta	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus
GCA_001931905	GCA_001931905|MSJI02000222.1/37950-32323;size=1	2562440	1010633	gi|1832288657|emb|LR761623.1|	93.506	5621	359	3	2	5621	42783129	42788744	0	8353	60747861	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Poales	Poaceae	Digitaria	Digitaria exilis	1	Eukaryota	Opisthokonta	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae sp	Cladosporiaceae sp	Cladosporiaceae sp. IMV 00045
GCA_002093875	GCA_002093875|LYUA01000410.1/1169575-1163484;size=1	52612	38942	gi|2293042076|ref|XR_007650999.1|	94.118	119	5	2	1	118	2188	2305	4.37e-39	180	3424	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus robur	2	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Insecta	Odonata	Calopterygidae	Calopteryx	Calopteryx splendens
GCA_002443195	GCA_002443195|NWUI02000382.1/1-4128;size=1	5059	3847	gi|2567176712|gb|CP126438.1|	99.952	4128	2	0	1	4128	3132572	3128445	0	7613	46294601	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Fabales	Fabaceae	Glycine	Glycine max	1	Eukaryota	Opisthokonta	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus flavus
GCA_002743455	GCA_002743455|PEDO01006412.1/1394-5419;size=1	8840	536627	gi|1216870858|gb|MF171087.1|	98.366	3978	41	13	65	4026	1	3970	0	6966	5589	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Ericales	Theaceae	Camellia	Camellia mairei	1	Eukaryota	Opisthokonta	Metazoa	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas platyrhynchos
GCA_002901145	GCA_002901145|NOXB01000044.1/3909-9478;size=1	29917	1010633	gi|1832288657|emb|LR761623.1|	98.132	5621	54	42	1	5570	42783136	42788756	0	9751	60747861	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Poales	Poaceae	Digitaria	Digitaria exilis	2	Eukaryota	Opisthokonta	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium cladosporioides
GCA_002901145	GCA_002901145|NOXB01000046.1/4648-5;size=1	29917	1010633	gi|1832288657|emb|LR761623.1|	98.796	4652	41	11	1	4644	42783136	42787780	0	8266	60747861	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Poales	Poaceae	Digitaria	Digitaria exilis	2	Eukaryota	Opisthokonta	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium cladosporioides
GCA_002924975	GCA_002924975|PJYF01000222.1/8992-4330;size=1	318829	3702	gi|2154030536|gb|OK440404.1|	100	4663	0	0	1	4663	344670	349332	0	8612	1980390	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis	Arabidopsis thaliana	1	Eukaryota	Opisthokonta	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Pyriculariaceae	Pyricularia	Pyricularia oryzae
GCA_003063765	GCA_003063765|NJRO01003083.1/8071-13691;size=1	602636	1010633	gi|1832288657|emb|LR761623.1|	97.513	5630	120	18	1	5621	42783136	42788754	0	9603	60747861	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Poales	Poaceae	Digitaria	Digitaria exilis	1	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	Aphaenogaster	Aphaenogaster fulva
GCA_003063805	GCA_003063805|NJRQ01002769.1/9391-5057;size=1	602585	4846	gi|82398553|gb|DQ273817.1|	98.478	3219	49	0	849	4067	1	3219	0	5674	3219	Eukaryota	Fungi	Mucoromycota	Mucoromycotina	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus stolonifer	1	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	Aphaenogaster	Aphaenogaster ashmeadi
GCA_003123905	GCA_003123905|QEEW01060017.1/916-6813;size=1	51811	2733465	gi|1838434290|gb|MT436028.1|	93.301	3269	180	32	2410	5656	2389	5640	0	4787	5640	Eukaryota	Fungi	Mucoromycota	Mucoromycotina	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia healeyae	3	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Arachnida	Pseudoscorpiones	Chernetidae	Cordylochernes	Cordylochernes scorpioides
GCA_003313675	GCA_003313675|QLON01000224.1/1957-8627;size=1	71929	560273	gi|202070873|gb|FJ040512.1|	94.357	3952	101	57	2764	6641	1	3904	0	5951	3904	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Diptera	Cecidomyiidae	NA	Cecidomyiidae sp. MAB-2008	2	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Termitomyces	Termitomyces heimii
GCA_003313825	GCA_003313825|QLOR01000695.1/816-7897;size=1	155012	2728169	gi|1832604112|gb|MT356108.1|	98.669	3833	47	4	3208	7039	1	3830	0	6794	3837	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Diptera	Pediciidae	Ula	Ula bolitophila	1	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Sarcodon	Sarcodon aspratus
GCA_003313985	GCA_003313985|QLPB01018096.1/657-6169;size=1	222702	560273	gi|202070873|gb|FJ040512.1|	98.093	2517	32	4	3012	5513	1	2516	0	4368	3904	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Diptera	Cecidomyiidae	NA	Cecidomyiidae sp. MAB-2008	1	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius indigo
GCA_003314055	GCA_003314055|QLPC01010457.1/7698-3054;size=1	1837245	560779	gi|202070880|gb|FJ040519.1|	92.797	3887	201	48	750	4596	6	3853	0	5561	3853	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Diptera	Mycetophilidae	Pseudobrachypeza	Pseudobrachypeza bulbosa	1	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus hygrophoroides
GCA_003314395	GCA_003314395|QLPN01003643.1/3168-10150;size=1	80570	36166	gi|425869822|gb|KC177721.1|	97.15	3825	87	17	3152	6957	3	3824	0	6440	3824	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Diptera	Phoridae	Megaselia	Megaselia scalaris	1	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycetes	Russulales	Albatrellaceae	Albatrellus	Albatrellus ellisii
GCA_003314695	GCA_003314695|QLPM01006673.1/1999-9121;size=1	2175974	36166	gi|425869822|gb|KC177721.1|	96.944	3828	90	21	3292	7098	3	3824	0	6396	3824	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Diptera	Phoridae	Megaselia	Megaselia scalaris	1	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycetes	Russulales	Albatrellaceae	Albatrellus	Albatrellus sp. MG142
GCA_003314755	GCA_003314755|QMFH01009049.1/271-4963;size=1	5323	36166	gi|425869822|gb|KC177721.1|	97.15	3825	87	17	862	4667	3	3824	0	6440	3824	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Diptera	Phoridae	Megaselia	Megaselia scalaris	1	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus eryngii
GCA_003316125	GCA_003316125|QFEN01001054.1/5297-9980;size=1	29893	560779	gi|202070880|gb|FJ040519.1|	92.809	3894	198	53	778	4635	6	3853	0	5572	3853	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Diptera	Mycetophilidae	Pseudobrachypeza	Pseudobrachypeza bulbosa	1	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia	Auricularia polytricha
GCA_003316355	GCA_003316355|QFET01005475.1/2228-8144;size=1	1894963	3750	gi|2104762479|emb|OU744953.1|	99.948	3813	2	0	2105	5917	28830	32642	0	7031	33409634	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Rosales	Rosaceae	Malus	Malus domestica	1	Eukaryota	Opisthokonta	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	Tuber calosporum
GCA_003316505	GCA_003316505|QFEX01003820.1/1456-6059;size=1	1930190	560779	gi|202070880|gb|FJ040519.1|	98.313	3853	53	10	710	4555	6	3853	0	6754	3853	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Diptera	Mycetophilidae	Pseudobrachypeza	Pseudobrachypeza bulbosa	2	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus alpinus
GCA_003426825	GCA_003426825|QKXG01008604.1/5541-109;size=1	44318	717740	gi|1526295644|gb|CP024760.1|	99.54	5440	14	8	1	5433	2027865	2022430	0	9897	2074296	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Hyphopichia	Hyphopichia burtonii	23	Eukaryota	Opisthokonta	Metazoa	Chordata	Aves	Passeriformes	Petroicidae	Eopsaltria	Eopsaltria australis
GCA_003521275	GCA_003521275|QOVE01015487.1/7043-11106;size=1	2175962	7072	gi|2259490858|emb|OW626790.1|	87.728	4115	357	98	19	4064	5799652	5803687	0	4665	23809236	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Coleoptera	Tenebrionidae	Tribolium	Tribolium freemani	2	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma sp. MG99
GCA_003521275	GCA_003521275|QOVE01017283.1/193-6896;size=1	2175962	2829068	gi|2128328864|dbj|LC625870.1|	94.699	2528	93	28	59	2573	1	2500	0	3888	4468	Eukaryota	Metazoa	Nematoda	NA	Chromadorea	Rhabditida	Iotonchiidae	Iotonchium	Iotonchium ungulatum	2	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma sp. MG99
GCA_003550305	GCA_003550305|QKYT01001565.1/4817-2;size=1	658196	4039	gi|1199744098|gb|MF185152.1|	96.702	4821	147	12	1	4816	126	4939	0	8019	6841	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota	1	Eukaryota	Opisthokonta	Fungi	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus cerebriforme
GCA_003614995	GCA_003614995|QZFA01000359.1/2131-7752;size=1	1116209	1010633	gi|1832288657|emb|LR761623.1|	99.022	5624	50	4	3	5622	42783134	42788756	0	10076	60747861	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Poales	Poaceae	Digitaria	Digitaria exilis	1	Eukaryota	Opisthokonta	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium phlei
GCA_003704035	GCA_003704035|RCWR01148720.1/4605-1;size=1	230844	4932	gi|1262303|gb|U53879.1|YSCL9634	99.241	4609	29	5	1	4605	27863	23257	0	8312	39322	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	1	Eukaryota	Opisthokonta	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	Peromyscus maniculatus
GCA_003724095	GCA_003724095|QOUH01001383.1/6295-34;size=1	181123	2051683	gi|1282187829|gb|KY922034.1|	84.654	3773	428	104	2572	6231	1	3735	0	3620	3735	Eukaryota	Metazoa	Arthropoda	Chelicerata	Arachnida	Trombidiformes	Pyemotidae	Pyemotes	Pyemotes herfsi	3	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Sphaerophragmiaceae	Austropuccinia	Austropuccinia psidii
GCA_003724095	GCA_003724095|QOUH01136096.1/5253-189;size=1	181123	217509	gi|2560374058|emb|OY720485.1|	98.527	5092	30	17	1	5065	8706241	8701168	0	8946	33799872	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Cypriniformes	Cyprinidae	Carassius	Carassius carassius	3	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Sphaerophragmiaceae	Austropuccinia	Austropuccinia psidii
GCA_003789085	GCA_003789085|QCYY01001173.1/173436-178979;size=11	6689	4491	gi|2565975340|emb|OX638248.1|	99.031	5570	26	17	1	5544	14528423	14533990	0	9961	20213230	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Poales	Poaceae	Aegilops	Aegilops umbellulata	13	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Malacostraca	Decapoda	Penaeidae	Penaeus	Penaeus vannamei
GCA_003789085	GCA_003789085|QCYY01001173.1/179502-185254;size=1	6689	4491	gi|2565975340|emb|OX638248.1|	98.991	4164	25	11	1	4147	13159222	13155059	0	7441	20213230	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Poales	Poaceae	Aegilops	Aegilops umbellulata	13	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Malacostraca	Decapoda	Penaeidae	Penaeus	Penaeus vannamei
GCA_003789085	GCA_003789085|QCYY01001173.1/218706-224144;size=1	6689	4550	gi|344222520|gb|JF489233.1|	98.92	5462	23	17	1	5439	2941	8389	0	9727	8751	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Poales	Poaceae	Secale	Secale cereale	13	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Malacostraca	Decapoda	Penaeidae	Penaeus	Penaeus vannamei
GCA_003957845	GCA_003957845|QVIK01001208.1/3044-7919;size=1	299130	213055	gi|1846391207|gb|MT533317.1|	95.703	4910	154	41	1	4873	13	4902	0	7845	5859	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia scheffleri	1	Eukaryota	Opisthokonta	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Oidium	Oidium heveae
GCA_004024705	GCA_004024705|PVHU020000161.1/6111-281;size=1	68415	47085	gi|2532442601|emb|OY283139.1|	100	5831	0	0	1	5831	38493150	38498980	0	10768	91320517	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Fabales	Fabaceae	Medicago	Medicago lupulina	1	Eukaryota	Opisthokonta	Metazoa	Chordata	Mammalia	Artiodactyla	Moschidae	Moschus	Moschus moschiferus
GCA_004024845	GCA_004024845|PVIA01021628.1/5964-183;size=1	171122	131158	gi|530279562|gb|KF184927.1|	97.169	5793	137	22	1	5782	104776	99000	0	9764	122955	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Poales	Poaceae	Saccharum	Saccharum hybrid cultivar	1	Eukaryota	Opisthokonta	Metazoa	Chordata	Mammalia	Chiroptera	Phyllostomidae	Tonatia	Tonatia saurophila
GCA_004143745	GCA_004143745|QCWP01037354.1/4646-1;size=1	9054	34284	gi|1727325710|gb|CP032579.1|	99.355	4648	26	4	1	4646	40019464	40024109	0	8414	43702783	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Malvales	Malvaceae	Gossypium	Gossypium turneri	1	Eukaryota	Opisthokonta	Metazoa	Chordata	Aves	Galliformes	Phasianidae	Phasianus	Phasianus colchicus
