"","assembly_id","rDNA_copynumber","taxid","superkingdom","supergroup","kingdom","phylum","class","order","family","genus","species"
"18","GCA_000002725",1,347515,"Eukaryota","Eukaryota_X","Discoba","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","Leishmania","Leishmania major"
"19","GCA_000002765",1,36329,"Eukaryota","SAR","Alveolata","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium falciparum"
"20","GCA_000002775",1,3694,"Eukaryota","Archaeplastida","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus","Populus trichocarpa"
"21","GCA_000002855",1,5061,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus niger"
"22","GCA_000002875",1,435258,"Eukaryota","Eukaryota_X","Discoba","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","Leishmania","Leishmania infantum"
"23","GCA_000002945",1,4896,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Schizosaccharomycetes","Schizosaccharomycetales","Schizosaccharomycetaceae","Schizosaccharomyces","Schizosaccharomyces pombe"
"24","GCA_000002975",1,55529,"Eukaryota","SAR","Stramenopiles","Ochrophyta","Cryptophyceae","Pyrenomonadales","Geminigeraceae","Guillardia","Guillardia theta"
"25","GCA_000002985",1,6239,"Eukaryota","Opisthokonta","Metazoa","Nematoda","Chromadorea","Rhabditida","Rhabditidae","Caenorhabditis","Caenorhabditis elegans"
"26","GCA_000003085",2,73239,"Eukaryota","SAR","Alveolata","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium yoelii"
"27","GCA_000003125",1,441959,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces stipitatus"
"28","GCA_000003195",12,4558,"Eukaryota","Archaeplastida","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Sorghum","Sorghum bicolor"
"29","GCA_000003225",2,5874,"Eukaryota","SAR","Alveolata","Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae","Theileria","Theileria annulata"
"30","GCA_000003515",1,336963,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Uncinocarpus","Uncinocarpus reesii"
"31","GCA_000003525",2,559297,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Blastomyces","Blastomyces dermatitidis"
"32","GCA_000003605",1,10224,"Eukaryota","Opisthokonta","Metazoa","Hemichordata","Enteropneusta","Enteropneusta_X","Harrimaniidae","Saccoglossus","Saccoglossus kowalevskii"
"33","GCA_000003625",1,9986,"Eukaryota","Opisthokonta","Metazoa","Chordata","Mammalia","Lagomorpha","Leporidae","Oryctolagus","Oryctolagus cuniculus"
"34","GCA_000003815",2,7739,"Eukaryota","Opisthokonta","Metazoa","Chordata","Leptocardii","Amphioxiformes","Branchiostomidae","Branchiostoma","Branchiostoma floridae"
"35","GCA_000003855",2,559298,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Blastomyces","Blastomyces gilchristii"
"36","GCA_000004015",5,7159,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes aegypti"
"37","GCA_000004075",5,3659,"Eukaryota","Archaeplastida","Viridiplantae","Streptophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Cucumis","Cucumis sativus"
"38","GCA_000004195",3,8364,"Eukaryota","Opisthokonta","Metazoa","Chordata","Amphibia","Anura","Pipidae","Xenopus","Xenopus tropicalis"
"39","GCA_000004255",2,81972,"Eukaryota","Archaeplastida","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"40","GCA_000004515",6,3847,"Eukaryota","Archaeplastida","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Glycine","Glycine max"
"41","GCA_000004655",10,39946,"Eukaryota","Archaeplastida","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Oryza","Oryza sativa"
"42","GCA_000004695",1,352472,"Eukaryota","Amoebozoa","Amoebozoa","Evosea","Eumycetozoa","Dictyosteliales","Dictyosteliaceae","Dictyostelium","Dictyostelium discoideum"
"43","GCA_000005005",24,4577,"Eukaryota","Archaeplastida","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Zea","Zea mays"
"44","GCA_000005115",1,7217,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila ananassae"
"45","GCA_000005175",1,7230,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila mojavensis"
"46","GCA_000005195",1,7234,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila persimilis"
"47","GCA_000005215",3,7238,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila sechellia"
"48","GCA_000005245",3,7244,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila virilis"
"49","GCA_000005505",3,15368,"Eukaryota","Archaeplastida","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Brachypodium","Brachypodium distachyon"
"50","GCA_000005925",6,7260,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila willistoni"
"51","GCA_000006335",1,294747,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Candida","Candida tropicalis"
"52","GCA_000006355",3,5851,"Eukaryota","SAR","Alveolata","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium knowlesi"
"53","GCA_000006425",1,353151,"Eukaryota","SAR","Alveolata","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","Cryptosporidium hominis"
"54","GCA_000006515",1,441375,"Eukaryota","SAR","Alveolata","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","Cryptosporidium muris"
"55","GCA_000006565",1,508771,"Eukaryota","SAR","Alveolata","Apicomplexa","Conoidasida","Eucoccidiorida","Sarcocystidae","Toxoplasma","Toxoplasma gondii"
"56","GCA_000018645",1,464988,"Eukaryota","SAR","Stramenopiles","Ochrophyta","Cryptophyceae","Cryptomonadales","Hemiselmidaceae","Hemiselmis","Hemiselmis andersenii"
"57","GCA_000026365",1,4956,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Zygosaccharomyces","Zygosaccharomyces rouxii"
"58","GCA_000026945",1,573826,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Candida","Candida dubliniensis"
"59","GCA_000090985",1,296587,"Eukaryota","Archaeplastida","Viridiplantae","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas commoda"
"60","GCA_000091025",1,284811,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Eremothecium","Eremothecium gossypii"
"61","GCA_000091045",1,214684,"Eukaryota","Opisthokonta","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Cryptococcus","Cryptococcus neoformans"
"62","GCA_000092065",1,436017,"Eukaryota","Archaeplastida","Viridiplantae","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Ostreococcus","Ostreococcus sp. 'lucimarinus'"
"63","GCA_000142805",1,559295,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Lachancea","Lachancea thermotolerans"
"64","GCA_000142905",1,461836,"Eukaryota","Eukaryota_X","Eukaryota_XX","Apusosa","Thecomonadea","Apusomonadida","Apusomonadidae","Thecamonas","Thecamonas trahens"
"65","GCA_000142945",13,403677,"Eukaryota","SAR","Stramenopiles","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora infestans"
"66","GCA_000143045",1,431595,"Eukaryota","SAR","Stramenopiles","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium ultimum"
"67","GCA_000143105",1,655863,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Grosmannia","Grosmannia clavigera"
"68","GCA_000143365",3,306901,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium globosum"
"69","GCA_000143395",1,12957,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Atta","Atta cephalotes"
"70","GCA_000143415",4,88036,"Eukaryota","Archaeplastida","Viridiplantae","Streptophyta","Lycopodiopsida","Selaginellales","Selaginellaceae","Selaginella","Selaginella moellendorffii"
"71","GCA_000143535",1,332648,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis","Botrytis cinerea"
"72","GCA_000143925",1,135651,"Eukaryota","Opisthokonta","Metazoa","Nematoda","Chromadorea","Rhabditida","Rhabditidae","Caenorhabditis","Caenorhabditis brenneri"
"73","GCA_000146045",1,559292,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae"
"74","GCA_000146915",10,321614,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora","Parastagonospora nodorum"
"75","GCA_000146945",1,665079,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Sclerotinia","Sclerotinia sclerotiorum"
"76","GCA_000147175",2,104421,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus floridanus"
"77","GCA_000147195",1,610380,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Harpegnathos","Harpegnathos saltator"
"78","GCA_000147395",5,4538,"Eukaryota","Archaeplastida","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Oryza","Oryza glaberrima"
"79","GCA_000148765",1,3750,"Eukaryota","Archaeplastida","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Malus","Malus domestica"
"80","GCA_000148955",6,7757,"Eukaryota","Opisthokonta","Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","Petromyzon","Petromyzon marinus"
"81","GCA_000149035",6,645133,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum graminicola"
"82","GCA_000149185",1,39758,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Insecta","Diptera","Cecidomyiidae","Mayetiola","Mayetiola destructor"
"83","GCA_000149225",1,226302,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Lachancea","Lachancea kluyveri"
"84","GCA_000149245",1,235443,"Eukaryota","Opisthokonta","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Cryptococcus","Cryptococcus neoformans"
"85","GCA_000149285",1,39947,"Eukaryota","Archaeplastida","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Oryza","Oryza sativa"
"86","GCA_000149305",1,246409,"Eukaryota","Opisthokonta","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Rhizopodaceae","Rhizopus","Rhizopus delemar"
"87","GCA_000149335",1,246410,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Coccidioides","Coccidioides immitis"
"88","GCA_000149365",4,285006,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae"
"89","GCA_000149385",1,283643,"Eukaryota","Opisthokonta","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Cryptococcus","Cryptococcus neoformans"
"90","GCA_000149405",1,296543,"Eukaryota","SAR","Stramenopiles","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira pseudonana"
"91","GCA_000149425",2,294746,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Meyerozyma","Meyerozyma guilliermondii"
"92","GCA_000149445",1,294748,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Candida","Candida albicans"
"93","GCA_000149555",1,334819,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium verticillioides"
"94","GCA_000149585",1,2059318,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Histoplasma","Histoplasma mississippiense (nom. inval.)"
"95","GCA_000149615",1,341663,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus terreus"
"96","GCA_000149665",1,137071,"Eukaryota","SAR","Alveolata","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium falciparum"
"97","GCA_000149685",1,379508,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Lodderomyces","Lodderomyces elongisporus"
"98","GCA_000149795",1,57267,"Eukaryota","SAR","Alveolata","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium falciparum"
"99","GCA_000149815",1,396776,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Coccidioides","Coccidioides immitis"
"100","GCA_000149845",4,402676,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Schizosaccharomycetes","Schizosaccharomycetales","Schizosaccharomycetaceae","Schizosaccharomyces","Schizosaccharomyces japonicus"
"101","GCA_000149865",2,403673,"Eukaryota","Opisthokonta","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophydiales","Rhizophydiales i.s.","Batrachochytrium","Batrachochytrium dendrobatidis"
"102","GCA_000149895",3,404692,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Coccidioides","Coccidioides immitis"
"103","GCA_000149955",2,426428,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium oxysporum"
"104","GCA_000150055",1,454284,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Coccidioides","Coccidioides posadasii"
"105","GCA_000150085",2,454286,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Coccidioides","Coccidioides immitis"
"106","GCA_000150115",1,447093,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Histoplasma","Histoplasma capsulatum"
"107","GCA_000150145",1,451804,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus fumigatus"
"108","GCA_000150185",1,469470,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Coccidioides","Coccidioides posadasii"
"109","GCA_000150215",2,469471,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Coccidioides","Coccidioides posadasii"
"110","GCA_000150245",2,469472,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Coccidioides","Coccidioides posadasii"
"111","GCA_000150295",1,478864,"Eukaryota","SAR","Alveolata","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium falciparum"
"112","GCA_000150335",1,5834,"Eukaryota","SAR","Alveolata","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium falciparum"
"113","GCA_000150355",1,5839,"Eukaryota","SAR","Alveolata","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium falciparum"
"114","GCA_000150395",1,478861,"Eukaryota","SAR","Alveolata","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium falciparum"
"115","GCA_000150475",1,482561,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_X","Paracoccidioides","Paracoccidioides brasiliensis"
"116","GCA_000150505",3,483514,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Schizosaccharomycetes","Schizosaccharomycetales","Schizosaccharomycetaceae","Schizosaccharomyces","Schizosaccharomyces octosporus"
"117","GCA_000150535",1,3649,"Eukaryota","Archaeplastida","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Caricaceae","Carica","Carica papaya"
"118","GCA_000150555",1,490065,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Coccidioides","Coccidioides posadasii"
"119","GCA_000150585",1,490066,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Coccidioides","Coccidioides posadasii"
"120","GCA_000150615",2,490068,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Coccidioides","Coccidioides posadasii"
"121","GCA_000150645",1,490069,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Coccidioides","Coccidioides posadasii"
"122","GCA_000150675",2,498257,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Verticillium","Verticillium dahliae"
"123","GCA_000150705",2,502779,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_X","Paracoccidioides","Paracoccidioides lutzii"
"124","GCA_000150735",2,502780,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_X","Paracoccidioides","Paracoccidioides brasiliensis"
"125","GCA_000150825",2,526221,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Verticillium","Verticillium alfalfae"
"126","GCA_000150955",1,556484,"Eukaryota","SAR","Stramenopiles","Bacillariophyta","Bacillariophyceae","Naviculales","Phaeodactylaceae","Phaeodactylum","Phaeodactylum tricornutum"
"127","GCA_000150975",2,535722,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Nannizzia","Nannizzia gypsea"
"128","GCA_000151005",1,544711,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Histoplasma","Histoplasma capsulatum"
"129","GCA_000151035",1,544712,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Histoplasma","Histoplasma capsulatum"
"130","GCA_000151125",2,663331,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Trichophyton","Trichophyton benhamiae"
"131","GCA_000151145",2,554155,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Microsporum","Microsporum canis"
"132","GCA_000151175",1,559882,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Trichophyton","Trichophyton equinum"
"133","GCA_000151265",1,564608,"Eukaryota","Archaeplastida","Viridiplantae","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"134","GCA_000151295",2,578462,"Eukaryota","Opisthokonta","Fungi","Blastocladiomycota","Blastocladiomycetes","Blastocladiales","Blastocladiaceae","Allomyces","Allomyces macrogynus"
"135","GCA_000151315",1,595528,"Eukaryota","Opisthokonta","Filasterea","Filasterea","Filasterea","Filasterea","Filasterea","Capsaspora","Capsaspora owczarzaki"
"136","GCA_000151335",1,222929,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Coccidioides","Coccidioides posadasii"
"137","GCA_000151455",1,647933,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Trichophyton","Trichophyton tonsurans"
"138","GCA_000151485",1,658763,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae"
"139","GCA_000151505",1,663202,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Trichophyton","Trichophyton verrucosum"
"140","GCA_000151545",2,695850,"Eukaryota","SAR","Stramenopiles","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia","Saprolegnia parasitica"
"141","GCA_000151595",2,653446,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Blastomyces","Blastomyces dermatitidis"
"142","GCA_000151645",3,39416,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","Tuber melanosporum"
"143","GCA_000151665",27,12968,"Eukaryota","SAR","Stramenopiles","Bigyra","Opalozoa","Opalinata","Blastocystidae","Blastocystis","Blastocystis hominis"
"144","GCA_000151685",2,3988,"Eukaryota","Archaeplastida","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Ricinus","Ricinus communis"
"145","GCA_000151715",1,7091,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Insecta","Lepidoptera","Bombycidae","Bombyx","Bombyx mori"
"146","GCA_000151805",3,59729,"Eukaryota","Opisthokonta","Metazoa","Chordata","Aves","Passeriformes","Estrildidae","Taeniopygia","Taeniopygia guttata"
"147","GCA_000151865",1,9739,"Eukaryota","Opisthokonta","Metazoa","Chordata","Mammalia","Artiodactyla","Delphinidae","Tursiops","Tursiops truncatus"
"148","GCA_000165345",1,353152,"Eukaryota","SAR","Alveolata","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","Cryptosporidium parvum"
"149","GCA_000165365",1,333668,"Eukaryota","SAR","Alveolata","Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae","Theileria","Theileria parva"
"150","GCA_000165395",3,484906,"Eukaryota","SAR","Alveolata","Apicomplexa","Aconoidasida","Piroplasmida","Babesiidae","Babesia","Babesia bovis"
"151","GCA_000166155",2,447095,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Blastomyces","Blastomyces dermatitidis"
"152","GCA_000166975",1,226126,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces mikatae"
"153","GCA_000166995",1,659244,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces uvarum"
"154","GCA_000167015",1,226301,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Naumovozyma","Naumovozyma castellii"
"155","GCA_000167035",1,659244,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces uvarum"
"156","GCA_000167055",1,226126,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces mikatae"
"157","GCA_000167075",1,226230,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces kudriavzevii"
